,Explicit Euler,Implicit Euler,Runge-Kutta,Heun
"without AdStep, h=0.01",1.98602732259782E-15,1.98602732259782E-15,2.78232557346822E-16,3.66205343881779E-15
"without AdStep, h=0.001",2.51214793389404E-15,3.5527136788005E-15,3.39438888348059E-16,3.66205343881779E-15
"AdStep, h=0.01",1.98602732259782E-15,1.98602732259782E-15,4.47545209131181E-16,3.66205343881779E-15
"AdStep, h=0.001",3.66205343881779E-15,3.66205343881779E-15,4.01557573199437E-16,3.66205343881779E-15
