,"Szenario 1, without AdStep, h=0.01","Szenario 1, without AdStep, h=0.001","Szenario 1, AdStep, h=0.01","Szenario 1, AdStep, h=0.001","Szenario 2, without AdStep, h=0.01","Szenario 2, without AdStep, h=0.001","Szenario 2, AdStep, h=0.01","Szenario 2, AdStep, h=0.001","Szenario 3, without AdStep, h=0.01","Szenario 3, without AdStep, h=0.001","Szenario 3, AdStep, h=0.01","Szenario 3, AdStep, h=0.001"
Explicit Euler,1.9860273225978185e-15,2.5121479338940403e-15,1.9860273225978185e-15,3.66205343881779e-15,9.930136612989092e-16,1.2560739669470201e-15,9.930136612989092e-16,1.2560739669470201e-15,4.440892098500626e-16,4.577566798522237e-16,4.440892098500626e-16,4.577566798522237e-16
Implicit Euler,1.9860273225978185e-15,3.552713678800501e-15,1.9860273225978185e-15,3.66205343881779e-15,9.930136612989092e-16,1.2560739669470201e-15,9.930136612989092e-16,1.8881953058541512e-15,4.47545209131181e-16,4.965068306494546e-16,4.47545209131181e-16,4.965068306494546e-16
Runge-Kutta,2.7823255734682197e-16,3.394388883480595e-16,4.47545209131181e-16,4.0155757319943717e-16,2.237726045655905e-16,2.607399605677454e-16,3.090778777381924e-16,1.6493562521320161e-16,1.8632133416215238e-16,2.2506156902894113e-16,2.411717990082569e-16,2.411702392926924e-16
Heun,3.66205343881779e-15,3.66205343881779e-15,3.66205343881779e-15,3.66205343881779e-15,1.2560739669470201e-15,1.2560739669470201e-15,1.2560739669470201e-15,1.2560739669470201e-15,4.577566798522237e-16,4.742874840267547e-16,4.577566798522237e-16,4.742874840267547e-16
